"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 06 18:02:52 KST 2023","Fri Jan 06 18:02:53 KST 2023","312","","com.eden.seleniummoni.daily.Sh1PageTest","","com.eden.seleniummoni.daily.Sh1PageTest","test2","게시물1","게시물 설명"
"failed","Mon Jan 09 10:46:43 KST 2023","Mon Jan 09 10:46:51 KST 2023","7658","","com.eden.seleniummoni.SampleTest","","com.eden.seleniummoni.SampleTest","test1","Naver Test",""
"passed","Fri Jan 06 18:02:43 KST 2023","Fri Jan 06 18:02:44 KST 2023","1382","","com.eden.seleniummoni.MainPageTest","","com.eden.seleniummoni.MainPageTest","navigationToAllTools","navigationToAllTools()",""
"passed","Fri Jan 06 18:02:44 KST 2023","Fri Jan 06 18:02:51 KST 2023","6681","","com.eden.seleniummoni.daily.ElyesPageTest","","com.eden.seleniummoni.daily.ElyesPageTest","test1","롯데캐슬 Elyes 신규 공고",""
"failed","Fri Jan 06 18:02:53 KST 2023","Fri Jan 06 18:02:53 KST 2023","325","","com.eden.seleniummoni.daily.Sh1PageTest","","com.eden.seleniummoni.daily.Sh1PageTest","test3","게시물2","게시물 설명3"
"passed","Fri Jan 06 18:02:38 KST 2023","Fri Jan 06 18:02:42 KST 2023","4508","","com.eden.seleniummoni.MainPageTest","","com.eden.seleniummoni.MainPageTest","search","search()",""
"failed","Fri Jan 06 18:02:51 KST 2023","Fri Jan 06 18:02:52 KST 2023","1507","","com.eden.seleniummoni.daily.Sh1PageTest","","com.eden.seleniummoni.daily.Sh1PageTest","test1","SH 주택분양 공고 최신 게시물","SH 주택분양 공고 최신 게시물"
"passed","Fri Jan 06 18:02:42 KST 2023","Fri Jan 06 18:02:43 KST 2023","723","","com.eden.seleniummoni.MainPageTest","","com.eden.seleniummoni.MainPageTest","toolsMenu","toolsMenu()",""
"skipped","Fri Jan 06 18:02:51 KST 2023","Fri Jan 06 18:02:51 KST 2023","0","","com.eden.seleniummoni.daily.GmaketPageTest","","com.eden.seleniummoni.daily.GmaketPageTest","test1","Gmarket 출석체크",""
"passed","Fri Jan 06 18:02:53 KST 2023","Fri Jan 06 18:02:54 KST 2023","634","","com.eden.seleniummoni.daily.Sh2PageTest","","com.eden.seleniummoni.daily.Sh2PageTest","firstLineTitle","SH 주택임대 공고 최신 게시물",""
